date,triplet
08-01-2022,"{""head"": ""Tesla"", ""relation"": ""stock price target by Wedbush"", ""tail"": ""1800""}"
09-01-2022,"{""head"": {""name"": ""Tesla""}, ""relation"": ""top performance contributor"", ""tail"": {""name"": ""ARK Innovation ETF""}}"
09-01-2022,"{""head"": {""name"": ""Tesla""}, ""relation"": ""benefiting from cost advantage"", ""tail"": {""name"": ""electric vehicles production growth""}}"
09-01-2022,"{""head"": {""name"": ""Tesla""}, ""relation"": ""passed the pivot point of critical scale"", ""tail"": {""name"": ""2017""}}"
09-01-2022,"{""head"": {""name"": ""Tesla""}, ""relation"": ""making improved profits per unit"", ""tail"": {""name"": ""sales per unit declining""}}"
09-01-2022,"{""head"": {""name"": ""Service sales""}, ""relation"": ""proportional to"", ""tail"": {""name"": ""VMT""}}"
10-01-2022,"{""head"": ""Tesla"", ""relation"": ""nickel supply deal"", ""tail"": ""Talon Metals""}"
10-01-2022,"{""head"": ""Talon Metals"", ""relation"": ""nickel supply source"", ""tail"": ""Tamarack Nickel Project""}"
10-01-2022,"{""head"": ""Tesla"", ""relation"": ""nickel purchase quantity"", ""tail"": ""75,000 tons""}"
10-01-2022,"{""head"": ""Tesla"", ""relation"": ""nickel purchase duration"", ""tail"": ""six years""}"
10-01-2022,"{""head"": ""Tesla"", ""relation"": ""nickel purchase price"", ""tail"": ""London Metals Exchange-listed prices""}"
11-01-2022,"{""head"": ""Tesla (TSLA)"", ""relation"": ""has pattern"", ""tail"": ""diamond pattern""}"
11-01-2022,"{""head"": ""Tesla (TSLA)"", ""relation"": ""stock price movement"", ""tail"": ""could break lower and head back towards the $900 gap fill""}"
11-01-2022,"{""head"": ""Tesla (TSLA)"", ""relation"": ""stock underperformance"", ""tail"": ""might be looking at losses""}"
11-01-2022,"{""head"": ""Tesla (TSLA)"", ""relation"": ""stock performance in 2020"", ""tail"": ""returned an average of 141%""}"
11-01-2022,"{""head"": ""Tesla (TSLA)"", ""relation"": ""role in ARK's ETFs"", ""tail"": ""considered the vanguard of the EV wave""}"
12-01-2022,"{""head"": ""Tesla"", ""relation"": ""share price increased"", ""tail"": ""3.9%""}"
12-01-2022,"{""head"": ""Tesla"", ""relation"": ""initiated holding by"", ""tail"": ""Bridge Creek Capital Management LLC""}"
12-01-2022,"{""head"": ""Tesla"", ""relation"": ""initiated holding by"", ""tail"": ""Rye Brook Capital LLC""}"
12-01-2022,"{""head"": ""Tesla"", ""relation"": ""bought by"", ""tail"": ""Current Portfolio""}"
12-01-2022,"{""head"": ""Tesla"", ""relation"": ""sold by"", ""tail"": ""Current Portfolio""}"
13-01-2022,"{""head"": ""Tesla"", ""relation"": ""aims to start initial production of"", ""tail"": ""Cybertruck""}"
13-01-2022,"{""head"": ""Cybertruck"", ""relation"": ""initial production delayed to"", ""tail"": ""end of the first quarter of 2023""}"
13-01-2022,"{""head"": ""Cybertruck"", ""relation"": ""competition in electric pickup segment"", ""tail"": ""heating up""}"
13-01-2022,"{""head"": ""Tesla"", ""relation"": ""market value fell by"", ""tail"": ""6.7%""}"
13-01-2022,"{""head"": ""Rivian Automotive"", ""relation"": ""market value fell by"", ""tail"": ""7.1%""}"
14-01-2022,"{""head"": ""David Colombo"", ""relation"": ""works in company"", ""tail"": ""Colombo Technology""}"
14-01-2022,"{""head"": ""David Colombo"", ""relation"": ""has occupation"", ""tail"": ""information technology security specialist""}"
14-01-2022,"{""head"": ""Tesla"", ""relation"": ""uses software"", ""tail"": ""third-party software""}"
14-01-2022,"{""head"": ""Tesla"", ""relation"": ""affected by vulnerability"", ""tail"": ""keyless entry and driving system""}"
14-01-2022,"{""head"": ""David Colombo"", ""relation"": ""hacked number of Tesla vehicles"", ""tail"": ""more than 25""}"
15-01-2022,"{""head"": ""Tesla Inc"", ""relation"": ""accepts"", ""tail"": ""Dogecoin""}"
15-01-2022,"{""head"": ""Tesla Inc"", ""relation"": ""removed reference"", ""tail"": ""2022 production start date for Cybertruck""}"
15-01-2022,"{""head"": ""Tesla Inc"", ""relation"": ""might not start"", ""tail"": ""production of Cybertruck in 2022""}"
15-01-2022,"{""head"": ""Over 60%"", ""relation"": ""search interest"", ""tail"": ""Dogecoin > Shiba Inu""}"
15-01-2022,"{""head"": ""Tesla Inc"", ""relation"": ""goal"", ""tail"": ""make all other EV names obsolete""}"
16-01-2022,"{""head"": ""Tesla"", ""relation"": ""stock price change"", ""tail"": ""4.50%""}"
16-01-2022,"{""head"": ""Tesla"", ""relation"": ""price to earnings ratio"", ""tail"": ""34.0""}"
16-01-2022,"{""head"": ""Tesla"", ""relation"": ""earnings yield"", ""tail"": ""2.94%""}"
16-01-2022,"{""head"": ""Tesla"", ""relation"": ""CEO"", ""tail"": ""Elon Musk""}"
16-01-2022,"{""head"": ""Tesla"", ""relation"": ""stock price"", ""tail"": ""1,049.61""}"
17-01-2022,"{""head"": ""Tesla Full Self-Driving"", ""relation"": ""alleged to cause millions of deaths"", ""tail"": ""Dan O'Dowd""}"
17-01-2022,"{""head"": ""Tesla Full Self-Driving"", ""relation"": ""criticized as worst commercial software"", ""tail"": ""Dan O'Dowd""}"
17-01-2022,"{""head"": ""Tesla Full Self-Driving"", ""relation"": ""claimed to be in alpha phase"", ""tail"": ""Dan O'Dowd""}"
17-01-2022,"{""head"": ""Tesla Full Self-Driving"", ""relation"": ""defended by Elon Musk"", ""tail"": ""Tesla""}"
17-01-2022,"{""head"": ""Tesla Full Self-Driving Beta"", ""relation"": ""available to high safety score Tesla owners"", ""tail"": ""Tesla""}"
18-01-2022,"{""head"": ""Elon Musk"", ""relation"": ""criticized"", ""tail"": ""software used for some other electric vehicles""}"
18-01-2022,"{""head"": ""O Dowd"", ""relation"": ""campaigning"", ""tail"": ""ban @Tesla full self-driving from our roads""}"
18-01-2022,"{""head"": ""Tesla"", ""relation"": ""recalled"", ""tail"": ""over 10,000 electric cars after an update caused the brake system to activate without warning""}"
18-01-2022,"{""head"": ""Elon Musk"", ""relation"": ""sold"", ""tail"": ""Tesla shares""}"
18-01-2022,"{""head"": ""Elizabeth Warren"", ""relation"": ""suggested"", ""tail"": ""mega-billionaires like Musk should perhaps pay more in taxes""}"
19-01-2022,"{""head"": ""Tesla Inc"", ""relation"": ""is working on"", ""tail"": ""Elon Musk head sculpture""}"
19-01-2022,"{""head"": ""Elon Musk head sculpture"", ""relation"": ""will be presented to"", ""tail"": ""Elon Musk""}"
19-01-2022,"{""head"": ""Elon Musk head sculpture"", ""relation"": ""is part of"", ""tail"": ""Elon Goat Token marketing campaign""}"
19-01-2022,"{""head"": ""Tesla Inc"", ""relation"": ""has stock price affected by"", ""tail"": ""decline in Nasdaq""}"
19-01-2022,"{""head"": ""Tesla Inc"", ""relation"": ""is considered"", ""tail"": ""modern day Nikola Tesla""}"
21-01-2022,"{""head"": ""Tesla"", ""relation"": ""Projected EPS"", ""tail"": ""$2.26""}"
21-01-2022,"{""head"": ""Tesla"", ""relation"": ""Projected Sales"", ""tail"": ""$16.99 billion""}"
21-01-2022,"{""head"": ""Tesla"", ""relation"": ""Manufacturing Plant Location"", ""tail"": ""Germany""}"
21-01-2022,"{""head"": ""Tesla"", ""relation"": ""Price Purchased"", ""tail"": ""$780.59 - $1229.91""}"
21-01-2022,"{""head"": ""Tesla"", ""relation"": ""Current Price"", ""tail"": ""$943.900000""}"
22-01-2022,"{""head"": ""Tesla (TSLA)"", ""relation"": ""price jumped from"", ""tail"": ""$50.59 to $943.90""}"
22-01-2022,"{""head"": ""Bitcoin"", ""relation"": ""value tracks more like"", ""tail"": ""a collectible than a share in a company""}"
22-01-2022,"{""head"": ""Tesla, Inc. (NASDAQ:TSLA)"", ""relation"": ""inspired by"", ""tail"": ""Floki""}"
22-01-2022,"{""head"": ""Floki"", ""relation"": ""owned by"", ""tail"": ""Elon Musk""}"
22-01-2022,"{""head"": ""Elon Musk"", ""relation"": ""quest of"", ""tail"": ""taking humans to Mars""}"
23-01-2022,"{""head"": ""Tesla Inc"", ""relation"": ""accepts and denominates merchandise on its online shop in"", ""tail"": ""Dogecoin""}"
23-01-2022,"{""head"": ""Tesla Inc"", ""relation"": ""began to accept and denominate merchandise on its online shop in"", ""tail"": ""Dogecoin""}"
23-01-2022,"{""head"": ""QQQ"", ""relation"": ""gives exposure to"", ""tail"": ""Tesla Inc""}"
23-01-2022,"{""head"": ""IGM"", ""relation"": ""is more expensive than"", ""tail"": ""QQQ""}"
23-01-2022,"{""head"": ""expensiveness"", ""relation"": ""leads to"", ""tail"": ""underperformance""}"
24-01-2022,"{""head"": ""MEMBERS Trust Co"", ""relation"": ""added shares of"", ""tail"": ""Tesla, Inc""}"
24-01-2022,"{""head"": ""MEMBERS Trust Co"", ""relation"": ""sold"", ""tail"": ""The Home Depot Inc""}"
24-01-2022,"{""head"": ""MEMBERS Trust Co"", ""relation"": ""sold"", ""tail"": ""Marathon Petroleum Corp""}"
24-01-2022,"{""head"": ""MEMBERS Trust Co"", ""relation"": ""sold"", ""tail"": ""The Walt Disney Co""}"
24-01-2022,"{""head"": ""MEMBERS Trust Co"", ""relation"": ""sold"", ""tail"": ""Marathon Oil Corp""}"
25-01-2022,"{""head"": ""Tesla"", ""relation"": ""being investigated by"", ""tail"": ""NHTSA""}"
25-01-2022,"{""head"": ""Tesla"", ""relation"": ""has feature"", ""tail"": ""Passenger Play""}"
25-01-2022,"{""head"": ""Passenger Play"", ""relation"": ""distraction risk"", ""tail"": ""Tesla drivers""}"
25-01-2022,"{""head"": ""Tesla"", ""relation"": ""requested information about"", ""tail"": ""crash reports related to Passenger Play""}"
25-01-2022,"{""head"": ""Tesla"", ""relation"": ""has not yet responded"", ""tail"": ""NHTSA request""}"
26-01-2022,"{""head"": ""Tesla"", ""relation"": ""delivered"", ""tail"": ""more than 308,000 vehicles""}"
26-01-2022,"{""head"": ""Tesla"", ""relation"": ""beat"", ""tail"": ""on the top and bottom line basically every quarter in the last two years except for one""}"
26-01-2022,"{""head"": ""Tesla"", ""relation"": ""reported"", ""tail"": ""record cash flow of nearly $2.8 billion""}"
26-01-2022,"{""head"": ""Tesla"", ""relation"": ""has"", ""tail"": ""no change to the value of digital assets on the balance sheet""}"
26-01-2022,"{""head"": ""Management"", ""relation"": ""stated"", ""tail"": ""Tesla would outpace 50% growth over the long run""}"
27-01-2022,"{""head"": ""Tesla Inc."", ""relation"": ""lostValue"", ""tail"": ""$108.31""}"
27-01-2022,"{""head"": ""Tesla Inc."", ""relation"": ""sharePrice"", ""tail"": ""$829.10""}"
27-01-2022,"{""head"": ""Tesla Inc."", ""relation"": ""reasonForLoss"", ""tail"": ""computer chip shortage""}"
27-01-2022,"{""head"": ""Tuttle Capital"", ""relation"": ""created"", ""tail"": ""Short Innovation ETF""}"
27-01-2022,"{""head"": ""Short Innovation ETF"", ""relation"": ""purpose"", ""tail"": ""bet against Cathie Wood""}"
28-01-2022,"{""head"": ""Heritage Investors Management Corp"", ""relation"": ""initiated holding in"", ""tail"": ""Tesla Inc.""}"
28-01-2022,"{""head"": ""Tesla Inc."", ""relation"": ""purchase price"", ""tail"": ""$780.59 to $1229.91""}"
28-01-2022,"{""head"": ""Tesla Inc."", ""relation"": ""average purchase price"", ""tail"": ""$1012.35""}"
28-01-2022,"{""head"": ""Tesla Inc."", ""relation"": ""current stock price"", ""tail"": ""$846.350000""}"
28-01-2022,"{""head"": ""Tesla Inc."", ""relation"": ""impact to a portfolio"", ""tail"": ""0.01%""}"
29-01-2022,"{""head"": ""Tesla, Inc."", ""relation"": ""has weighting"", ""tail"": ""8.07%""}"
29-01-2022,"{""head"": ""Tesla"", ""relation"": ""drives performance"", ""tail"": ""Advanced Materials""}"
29-01-2022,"{""head"": ""Tesla"", ""relation"": ""is aiming"", ""tail"": ""L4 autonomy in 2022""}"
29-01-2022,"{""head"": ""Tesla"", ""relation"": ""is developing"", ""tail"": ""FSD capabilities""}"
29-01-2022,"{""head"": ""Tesla"", ""relation"": ""accepts payment"", ""tail"": ""Dogecoin""}"
30-01-2022,"{""head"": ""Tesla"", ""relation"": ""has offtake agreement with"", ""tail"": ""Syrah Resources""}"
30-01-2022,"{""head"": ""Tesla"", ""relation"": ""will offtake"", ""tail"": ""8ktpa AAM from Vidalia""}"
30-01-2022,"{""head"": ""Syrah Resources"", ""relation"": ""is advancing commercial and technical engagement"", ""tail"": ""with other target customers to develop Vidalia AAM for mass production""}"
30-01-2022,"{""head"": ""Tesla"", ""relation"": ""has an option to offtake"", ""tail"": ""additional volume from Vidalia subject to Syrah expanding its capacity beyond the initial expansion""}"
30-01-2022,"{""head"": ""Detailed engineering on Vidalias initial expansion"", ""relation"": ""is approximately 50% completed"", ""tail"": ""null""}"
31-01-2022,"{""head"": ""Diversified Portfolios, Inc."", ""relation"": ""sold"", ""tail"": ""Tesla, Inc.""}"
31-01-2022,"{""head"": ""Diversified Portfolios, Inc."", ""relation"": ""sold"", ""tail"": ""Carvana Co.""}"
31-01-2022,"{""head"": ""Tesla, Inc."", ""relation"": ""share change"", ""tail"": ""6.16%""}"
31-01-2022,"{""head"": ""Tesla, Inc."", ""relation"": ""share of total portfolio"", ""tail"": ""4.17%""}"
31-01-2022,"{""head"": ""Canal Insurance CO"", ""relation"": ""sold"", ""tail"": ""Tesla, Inc.""}"
01-02-2022,"{""head"": ""BYD Company Limited"", ""relation"": ""is catching up rapidly with"", ""tail"": ""Tesla, Inc.""}"
01-02-2022,"{""head"": ""BYD Company Limited"", ""relation"": ""sold 93,945 new vehicles in December"", ""tail"": ""up 225.7% year-over-year""}"
01-02-2022,"{""head"": ""Elon Musk"", ""relation"": ""offered $5,000 to stop tracking activity"", ""tail"": ""to a fan""}"
01-02-2022,"{""head"": ""Tesla"", ""relation"": ""recalling nearly 54,000 vehicles"", ""tail"": ""because their “Full Self-Driving” software lets them roll through stop signs without coming to a complete halt""}"
01-02-2022,"{""head"": ""President Joe Biden"", ""relation"": ""for not acknowledging"", ""tail"": ""Tesla""}"
02-02-2022,"{""head"": ""Elon Musk"", ""relation"": ""accused of"", ""tail"": ""wrongdoing by shareholders in a class action lawsuit""}"
02-02-2022,"{""head"": ""Elon Musk"", ""relation"": ""tweeted on"", ""tail"": ""August 7, 2018""}"
02-02-2022,"{""head"": ""Elon Musk"", ""relation"": ""stated in tweet"", ""tail"": ""considering taking Tesla private at $420 a share""}"
02-02-2022,"{""head"": ""Elon Musk"", ""relation"": ""reached settlement with"", ""tail"": ""SEC""}"
02-02-2022,"{""head"": ""SEC"", ""relation"": ""complaint alleged"", ""tail"": ""Musk knew potential transaction was uncertain and subject to numerous contingencies""}"
03-02-2022,"{""head"": ""Palisades Hudson Asset Management, L.P."", ""relation"": ""owns"", ""tail"": ""112 stocks""}"
03-02-2022,"{""head"": ""Palisades Hudson Asset Management, L.P."", ""relation"": ""initiated holding in"", ""tail"": ""Tesla Inc.""}"
03-02-2022,"{""head"": ""Palisades Hudson Asset Management, L.P."", ""relation"": ""purchased Tesla shares"", ""tail"": ""at an estimated average price of $1012.35""}"
03-02-2022,"{""head"": ""Tesla Inc."", ""relation"": ""share prices"", ""tail"": ""now traded around $891.140000""}"
03-02-2022,"{""head"": ""Shares"", ""relation"": ""reduced by"", ""tail"": ""1.88%""}"
04-02-2022,"{""head"": ""Tesla"", ""relation"": ""innovates to stay ahead of EV tide"", ""tail"": ""Electric vehicle market""}"
04-02-2022,"{""head"": ""Tesla"", ""relation"": ""patents a single headlight design"", ""tail"": ""Tesla vehicles""}"
04-02-2022,"{""head"": ""Tesla"", ""relation"": ""significant impact of new headlight design"", ""tail"": ""facilitates delivery of vehicles""}"
04-02-2022,"{""head"": ""Tesla"", ""relation"": ""presence in 40 countries"", ""tail"": ""None""}"
04-02-2022,"{""head"": ""Tesla"", ""relation"": ""adopts central computing in EVs"", ""tail"": ""None""}"
05-02-2022,"{""head"": ""Tesla"", ""relation"": ""CEO"", ""tail"": ""Elon Musk""}"
05-02-2022,"{""head"": ""Tesla"", ""relation"": ""stock ownership reduction"", ""tail"": ""Franklin Resources Inc.""}"
05-02-2022,"{""head"": ""Tesla"", ""relation"": ""stock ownership increase"", ""tail"": ""SG Americas Securities LLC""}"
05-02-2022,"{""head"": ""Tesla"", ""relation"": ""stock ownership increase"", ""tail"": ""BlackRock Inc.""}"
05-02-2022,"{""head"": ""Tesla"", ""relation"": ""stock ownership increase"", ""tail"": ""Geode Capital Management LLC""}"
05-02-2022,"{""head"": ""Tesla"", ""relation"": ""stock ownership increase"", ""tail"": ""Renaissance Technologies LLC""}"
06-02-2022,"{""head"": ""Tesla"", ""relation"": ""has supplier"", ""tail"": ""Syrah Resources""}"
06-02-2022,"{""head"": ""Tesla"", ""relation"": ""offtake agreement"", ""tail"": ""Vidalia Offtake Strategy""}"
06-02-2022,"{""head"": ""Syrah Resources"", ""relation"": ""will supply"", ""tail"": ""8 ktpa AAM""}"
06-02-2022,"{""head"": ""Tesla"", ""relation"": ""has option"", ""tail"": ""offtake additional volume""}"
06-02-2022,"{""head"": ""Elon Musk"", ""relation"": ""retweeted meme"", ""tail"": ""Pokémon""}"
07-02-2022,"{""head"": ""Elon Musk"", ""relation"": ""is the CEO of"", ""tail"": ""Tesla Inc.""}"
07-02-2022,"{""head"": ""Tesla Inc."", ""relation"": ""held"", ""tail"": ""$2 billion in bitcoin at the end of last year""}"
07-02-2022,"{""head"": ""John Iadeluca"", ""relation"": ""said"", ""tail"": ""Tesla held onto their BTC holdings amidst declines in Bitcoin’s price""}"
07-02-2022,"{""head"": ""DiPasquale"", ""relation"": ""emphasized"", ""tail"": ""news of Tesla maintaining its BTC holdings have bolstered sentiment""}"
07-02-2022,"{""head"": ""Josh Olszewicz"", ""relation"": ""noted"", ""tail"": ""these developments are a sign of progress for cryptocurrencies""}"
08-02-2022,"{""head"": ""Tesla, Inc."", ""relation"": ""stock gain percent over last six months"", ""tail"": ""27.2%""}"
08-02-2022,"{""head"": ""Tesla, Inc."", ""relation"": ""stock price as of news date"", ""tail"": ""$922.000000""}"
08-02-2022,"{""head"": ""Tesla, Inc."", ""relation"": ""industry name"", ""tail"": ""Zacks Domestic Automotive industry""}"
08-02-2022,"{""head"": ""Tesla, Inc."", ""relation"": ""industry gain percent over last six months"", ""tail"": ""11.6%""}"
08-02-2022,"{""head"": ""ARS Wealth Advisors Group, LLC"", ""relation"": ""increased holding in ticker by percent"", ""tail"": ""26.38%""}"
09-02-2022,"{""head"": ""Tesla"", ""relation"": ""entered"", ""tail"": ""S&P 500""}"
09-02-2022,"{""head"": ""Tesla"", ""relation"": ""replaced"", ""tail"": ""Aimco""}"
09-02-2022,"{""head"": ""Tesla"", ""relation"": ""increased"", ""tail"": ""57%""}"
09-02-2022,"{""head"": ""Aimco"", ""relation"": ""fell"", ""tail"": ""17%""}"
09-02-2022,"{""head"": ""Tesla"", ""relation"": ""plans"", ""tail"": ""produce 1.5 million vehicles""}"
10-02-2022,"{""head"": ""Elon Musk"", ""relation"": ""founder and CEO"", ""tail"": ""Tesla (TSLA)""}"
10-02-2022,"{""head"": ""Elon Musk"", ""relation"": ""owns"", ""tail"": ""private jet""}"
10-02-2022,"{""head"": ""Elon Musk's private jet tracking account"", ""relation"": ""created by"", ""tail"": ""college student""}"
10-02-2022,"{""head"": ""Meme coin inspired by @ElonJet"", ""relation"": ""created by"", ""tail"": ""people behind""}"
10-02-2022,"{""head"": ""College student who created the Elon Musk-tracking"", ""relation"": ""will receive"", ""tail"": ""Tesla Model 3""}"
11-02-2022,"{""head"": ""Rivian"", ""relation"": ""production shortfall"", ""tail"": ""few hundred vehicles""}"
11-02-2022,"{""head"": ""Rivian"", ""relation"": ""stock performance"", ""tail"": ""9% fall on Friday""}"
11-02-2022,"{""head"": ""Rivian"", ""relation"": ""stock performance"", ""tail"": ""43% down year-to-date""}"
11-02-2022,"{""head"": ""Baker Avenue Asset Management, LP"", ""relation"": ""stock purchase"", ""tail"": ""added to a holding in Tesla Inc by 367.87%""}"
11-02-2022,"{""head"": ""Tesla Inc"", ""relation"": ""stock price"", ""tail"": ""$857.260000""}"
12-02-2022,"{""head"": ""Elon Musk"", ""relation"": ""CEO"", ""tail"": ""Tesla Inc and SpaceX""}"
12-02-2022,"{""head"": ""SpaceX"", ""relation"": ""plans"", ""tail"": ""starship to reach orbit this year""}"
12-02-2022,"{""head"": ""SpaceX"", ""relation"": ""expects approval"", ""tail"": ""Federal Aviation Administration in March""}"
12-02-2022,"{""head"": ""Yeahka Limited"", ""relation"": ""top stock in the portfolio of"", ""tail"": ""Cathie Wood""}"
12-02-2022,"{""head"": ""JD Logistics, Inc."", ""relation"": ""exciting stock in the portfolio of"", ""tail"": ""Cathie Wood’s ARK Investment Management""}"
13-02-2022,"{""head"": ""Tesla"", ""relation"": ""price movement"", ""tail"": ""-4.93%""}"
13-02-2022,"{""head"": ""Tesla"", ""relation"": ""factory location"", ""tail"": ""Shanghai, China""}"
13-02-2022,"{""head"": ""Tesla"", ""relation"": ""exports from China"", ""tail"": ""no profit sharing""}"
13-02-2022,"{""head"": ""Tesla"", ""relation"": ""sector"", ""tail"": ""consumer discretionary""}"
13-02-2022,"{""head"": ""Tesla"", ""relation"": ""weighing on ASX"", ""tail"": ""2.82%""}"
14-02-2022,"{""head"": ""Tiger Management"", ""relation"": ""bought"", ""tail"": ""Amazon.com Inc""}"
14-02-2022,"{""head"": ""Tiger Management"", ""relation"": ""bought"", ""tail"": ""Roblox Corp""}"
14-02-2022,"{""head"": ""Tiger Management"", ""relation"": ""bought"", ""tail"": ""Adobe Inc""}"
14-02-2022,"{""head"": ""Tiger Management"", ""relation"": ""bought"", ""tail"": ""Snowflake Inc""}"
14-02-2022,"{""head"": ""Tiger Management"", ""relation"": ""bought"", ""tail"": ""JD.com Inc""}"
14-02-2022,"{""head"": ""Tiger Management"", ""relation"": ""sold"", ""tail"": ""Flywire Corp""}"
14-02-2022,"{""head"": ""Tiger Management"", ""relation"": ""sold"", ""tail"": ""Alphabet Inc""}"
14-02-2022,"{""head"": ""Tiger Management"", ""relation"": ""sold"", ""tail"": ""Expedia Group Inc""}"
14-02-2022,"{""head"": ""Tiger Management"", ""relation"": ""sold"", ""tail"": ""Salesforce.com Inc""}"
14-02-2022,"{""head"": ""Tiger Management"", ""relation"": ""sold"", ""tail"": ""Tesla, Inc""}"
14-02-2022,"{""head"": ""Tesla, Inc"", ""relation"": ""produced"", ""tail"": ""nearly a million electric vehicles worldwide in 2021""}"
14-02-2022,"{""head"": ""Tesla, Inc"", ""relation"": ""is about to start production at"", ""tail"": ""its Texas site in Austin""}"
14-02-2022,"{""head"": ""Tesla, Inc"", ""relation"": ""is about to start production at"", ""tail"": ""its German factory""}"
14-02-2022,"{""head"": ""Tesla, Inc"", ""relation"": ""advanced"", ""tail"": ""1.8% after Chinese auto industry authorities announced the electric car maker sold nearly 60,000 China-made vehicles in January""}"
15-02-2022,"{""head"": ""Tesla"", ""relation"": ""signs"", ""tail"": ""five-year lithium supply deal""}"
